消防栓編號,單位名稱,自訂編號,種類,消防栓蓋,產權,區鄉鎮市名稱,消防栓位置,出水口型式,開關型式,消防栓標誌,經度,緯度,是否停用,備註,水公司單位名稱,消防栓照片,建檔時間,建檔帳號,修改時間,修改帳號,版本,查察梯次,水壓不足,水壓不足時1,水壓不足時2,出水量
5988,中山分隊,A001,地上,,公,太平區,新高里中山路四段23號,單口,五角開關,無,120.71313858,24.14963551,False,,大里服務所,True,,,2024/9/25 上午 07:13:27,中山分隊,17,1,False,0,0,2079
5628,中山分隊,A002,地上,,公,太平區,新高里宜鑫加油站左側巷口（分隊對面）,雙口,五角開關,無,120.7131721,24.14972729,False,,大里服務所,True,,,2026/4/15 下午 01:05:21,中山分隊,17,1,False,0,0,1926
5629,中山分隊,A003,地下,一般式,公,太平區,新高里中山路四段28巷17弄1號旁,單口,五角開關,無,120.71229636,24.15086535,False,,大里服務所,True,,,2025/8/8 下午 04:53:48,中山分隊,17,1,False,0,0,1044
18533,中山分隊,A004,地上,,公,太平區,新高里中山路四段86之1號（德侑藥局前）,雙口,五角開關,無,120.71065912,24.14970463,False,,大里服務所,True,2019/1/2 上午 10:39:34,中山分隊,2026/4/15 下午 01:08:37,中山分隊,6,1,False,0,0,1057
5575,中山分隊,A005,地下,一般式,公,太平區,新福里新福路2號,單口,五角開關,無,120.70319562,24.14822943,False,,大里服務所,True,,,2026/4/15 下午 01:09:49,中山分隊,14,1,False,0,0,1131
5576,中山分隊,A006,地下,一般式,公,太平區,新福里新福路58號,單口,五角開關,無,120.70325731,24.14929539,False,,大里服務所,True,,,2026/4/15 下午 01:10:31,中山分隊,12,1,False,0,0,1064
18534,中山分隊,A007,地下,一般式,公,太平區,新福里新福路66巷36弄60號旁,單口,五角開關,無,120.70389444,24.14961026,False,,大里服務所,True,2019/1/2 上午 10:50:26,中山分隊,2026/4/15 下午 01:11:28,中山分隊,7,1,False,0,0,1083
18535,中山分隊,A008,地下,一般式,公,太平區,新福里新福路66巷36弄61號前方車庫,單口,五角開關,無,120.70465149,24.14899787,False,,大里服務所,True,2019/1/2 上午 10:53:32,中山分隊,2026/4/15 下午 01:12:19,中山分隊,7,1,False,0,0,1062
18536,中山分隊,A009,地下,一般式,公,太平區,新福路66巷36弄31號側邊（機車格）,單口,五角開關,無,120.70445859,24.1495203,False,,大里服務所,True,2019/1/2 上午 10:55:57,中山分隊,2026/4/15 下午 01:13:02,中山分隊,7,1,False,0,0,1038
18537,中山分隊,A010,地下,一般式,公,太平區,新福里新福路66巷50號前,單口,五角開關,無,120.70468081,24.15000766,False,,大里服務所,True,2019/1/2 上午 10:57:50,中山分隊,2026/4/15 下午 01:14:29,中山分隊,6,1,False,0,0,891
5577,中山分隊,A011,地下,一般式,公,太平區,新福里新福路110號（順天璞玥前）,單口,五角開關,無,120.70329487,24.15018496,False,,大里服務所,True,,,2024/9/25 上午 07:16:09,中山分隊,12,1,False,0,0,0
